const,X1,X2
1.0,-0.11474792477853654,-0.12739258618144497
1.0,-0.046603662374496438,-1.9655516358729317
1.0,-1.2346119881235125,1.673547119872201
1.0,-0.18425452832840908,0.10727995230832069
1.0,1.2915455134818212,-2.4290998686570653
1.0,0.79673040365285552,-0.87635853435879441
1.0,-1.0399311821962403,-0.043965666608538373
1.0,1.8138952064013434,0.11798300149584676
1.0,-0.33716260259381997,0.14321324892176066
1.0,1.2577266584660058,0.25122376809487063
1.0,-1.770244219914727,1.3521932541429962
1.0,-0.95404476294982621,0.4698918498038307
1.0,0.62439416628505107,-1.0304545435090933
1.0,-0.31252700744859996,0.35211271614639622
1.0,0.63108842232443774,-2.3829051786166451
1.0,-0.41407917600324329,-0.47094858905673764
1.0,1.0157683606703092,-1.0429490907665449
1.0,0.028073176553029371,1.9435440146939793
1.0,-1.9399229713644475,0.66603072922186135
1.0,0.084516935187146647,-0.92441645623236557
1.0,1.1149129778805063,0.44299602879446343
1.0,-0.1004754884387874,-1.7239559980900467
1.0,1.0056929624722815,0.78497437583458229
1.0,-1.3951363649885131,0.33360205953255501
1.0,0.70775163952848985,-0.9553549725887196
1.0,0.45129170350502962,-0.70475865110346181
1.0,-0.98461415136608099,0.32461880907709595
1.0,-1.4137036103474974,-0.8635133569199378
1.0,-0.73940145306072913,1.0572218038334611
1.0,0.89456435866207196,-0.29247007553734128
1.0,-0.97415986893729678,-1.1357211131683709
1.0,-0.64201983523593342,-1.2044180530530086
1.0,0.79660277622511533,0.53211507734108532
1.0,0.24493705737124491,2.1432746542363295
1.0,0.23206495761079213,-1.2425433187272132
1.0,0.24784905184369901,-0.25007645700093079
1.0,-0.21929106006896729,-0.095386947126346835
1.0,1.0512581796742626,-0.96293327542902207
1.0,-0.2954524560939002,1.5054040841502314
1.0,0.65039910528119138,0.20519699545668757
1.0,0.60282082331815634,0.0056173963041736413
1.0,-0.56110252748595169,0.034678886768043857
1.0,-0.16347952749192365,0.27890808462506894
1.0,-1.2055975251868936,1.3900326291944789
1.0,1.9271979182455716,1.0269358342724291
1.0,0.6000460384388171,-2.7162949042629254
1.0,-0.4033102781413806,0.96223464900807898
1.0,0.71811658655754518,-1.5954815489237104
1.0,-2.1938037838799387,0.53953168166427179
1.0,0.89948109374550977,0.13531595464445137
1.0,0.60115481215841071,0.83708530215389021
1.0,0.80264612496127241,0.98504127582434531
